slot_id,checkin_timestamp,checkout_timestamp,day_of_week,slot_type,event_type,is_event_day,wait_time_minute
B1,2025-01-01 00:01:00,2025-01-01 00:42:00,Wednesday,bike,festival,1,3
C3,2025-01-01 00:01:00,2025-01-01 01:42:00,Wednesday,car,festival,1,3
B2,2025-01-01 00:02:00,2025-01-01 00:32:00,Wednesday,bike,festival,1,18
B1,2025-01-01 00:06:00,2025-01-01 00:36:00,Wednesday,bike,festival,1,23
B2,2025-01-01 00:14:00,2025-01-01 01:41:00,Wednesday,bike,festival,1,4
B1,2025-01-01 00:15:00,2025-01-01 01:12:00,Wednesday,bike,festival,1,25
C3,2025-01-01 00:17:00,2025-01-01 01:18:00,Wednesday,car,festival,1,3
B1,2025-01-01 00:37:00,2025-01-01 01:12:00,Wednesday,bike,festival,1,13
C1,2025-01-01 00:43:00,2025-01-01 02:22:00,Wednesday,car,festival,1,1
C1,2025-01-01 00:44:00,2025-01-01 01:35:00,Wednesday,car,festival,1,0
A1,2025-01-01 01:00:00,2025-01-01 02:43:00,Wednesday,abled,festival,1,12
B2,2025-01-01 01:11:00,2025-01-01 03:38:00,Wednesday,bike,festival,1,34
C1,2025-01-01 01:15:30,2025-01-01 02:03:30,Wednesday,car,festival,1,8
B1,2025-01-01 01:21:00,2025-01-01 03:22:00,Wednesday,bike,festival,1,22
C1,2025-01-01 01:22:00,2025-01-01 02:36:00,Wednesday,car,festival,1,9
C2,2025-01-01 01:26:00,2025-01-01 03:26:00,Wednesday,car,festival,1,0
B2,2025-01-01 01:31:00,2025-01-01 03:54:00,Wednesday,bike,festival,1,15
C3,2025-01-01 01:33:00,2025-01-01 03:25:00,Wednesday,car,festival,1,38
B1,2025-01-01 01:44:00,2025-01-01 03:08:00,Wednesday,bike,festival,1,5
C1,2025-01-01 01:48:00,2025-01-01 03:01:00,Wednesday,car,festival,1,1
C2,2025-01-01 02:00:00,2025-01-01 03:11:00,Wednesday,car,festival,1,43
C2,2025-01-01 02:05:00,2025-01-01 03:21:00,Wednesday,car,festival,1,7
A1,2025-01-01 02:34:00,2025-01-01 03:19:00,Wednesday,abled,festival,1,3
B2,2025-01-01 02:47:00,2025-01-01 04:10:00,Wednesday,bike,festival,1,5
C2,2025-01-01 02:53:00,2025-01-01 04:43:00,Wednesday,car,festival,1,9
A1,2025-01-01 03:00:00,2025-01-01 05:25:00,Wednesday,abled,festival,1,0
C1,2025-01-01 03:15:00,2025-01-01 04:44:00,Wednesday,car,festival,1,9
C1,2025-01-01 03:29:00,2025-01-01 05:48:00,Wednesday,car,festival,1,12
C1,2025-01-01 03:34:00,2025-01-01 05:43:00,Wednesday,car,festival,1,4
C1,2025-01-01 03:37:00,2025-01-01 04:42:00,Wednesday,car,festival,1,0
B1,2025-01-01 03:46:00,2025-01-01 05:37:00,Wednesday,bike,festival,1,6
C3,2025-01-01 04:02:00,2025-01-01 06:18:00,Wednesday,car,festival,1,21
B2,2025-01-01 04:29:00,2025-01-01 06:45:00,Wednesday,bike,festival,1,22
A1,2025-01-01 04:34:00,2025-01-01 06:40:00,Wednesday,abled,festival,1,2
A1,2025-01-01 04:38:00,2025-01-01 07:13:00,Wednesday,abled,festival,1,0
C2,2025-01-01 05:05:00,2025-01-01 06:15:00,Wednesday,car,festival,1,11
C1,2025-01-01 05:11:00,2025-01-01 06:39:00,Wednesday,car,festival,1,11
B2,2025-01-01 05:26:00,2025-01-01 06:52:00,Wednesday,bike,festival,1,10
